Open,High,Low,Close,Adj Close,Volume,Year,Month,Day
50.040001,51.240002,49.900002,51.139999,51.139999,64678000,2013,Oct,282
51.119999,52.220001,50.950001,52.209999,52.209999,71522000,2013,Oct,283
54.18,54.830002,53.599998,54.220001,54.220001,88260000,2013,Oct,284
54.68,54.810001,53.509998,53.849998,53.849998,58235000,2013,Oct,285
54.330002,54.759998,52.200001,52.68,52.68,83204000,2013,Oct,286
51.75,52.25,51.130001,51.900002,51.900002,57207000,2013,Oct,287
52.380001,52.84,51.59,52.450001,52.450001,46775000,2013,Oct,288
53.18,53.240002,51.880001,51.950001,51.950001,45085000,2013,Oct,289
51.540001,51.700001,49.610001,50.23,50.23,73472000,2013,Oct,290
50.73,50.790001,49.25,49.400002,49.400002,102143000,2013,Oct,291
50,50.209999,48.75,49.009998,49.009998,127073000,2013,Oct,292
47.16,52,46.5,50.209999,50.209999,248809000,2013,Oct,293
50.849998,52.09,49.720001,49.75,49.75,95033000,2013,Nov,294
49.369999,49.75,48.02,48.220001,48.220001,80371000,2013,Nov,295
47.790001,50.18,47.509998,50.110001,50.110001,76835000,2013,Nov,296
50.259998,50.450001,48.709999,49.119999,49.119999,67889000,2013,Nov,297
49.240002,49.869999,47.299999,47.560001,47.560001,97128000,2013,Nov,298
47.810001,48.650002,47.25,47.529999,47.529999,70731000,2013,Nov,299
47.040001,47.529999,45.73,46.200001,46.200001,80910000,2013,Nov,300
46,47.369999,45.830002,46.610001,46.610001,68196000,2013,Nov,301
46.23,48.740002,46.060001,48.709999,48.709999,79245000,2013,Nov,302
48.700001,49.57,48.029999,48.990002,48.990002,75117000,2013,Nov,303
49.110001,49.48,48.709999,49.009998,49.009998,42453000,2013,Nov,304
48.470001,48.84,45.799999,45.830002,45.830002,85910000,2013,Nov,305
46.259998,47,45.720001,46.360001,46.360001,75602000,2013,Nov,306
46.610001,47.549999,46.310001,46.43,46.43,53933000,2013,Nov,307
46.990002,47.459999,46.689999,46.700001,46.700001,34886000,2013,Nov,308
47.040001,47.27,45.959999,46.23,46.23,40545000,2013,Nov,309
46.360001,46.650002,44.040001,44.82,44.82,82565000,2013,Nov,310
44.66,46.169998,43.549999,45.889999,45.889999,82016000,2013,Nov,311
45.970001,46.669998,45.529999,46.490002,46.490002,44993000,2013,Nov,312
46.75,47.209999,46.5,47.009998,47.009998,22953900,2013,Nov,313
46.900002,47.540001,46.259998,47.060001,47.060001,50774000,2013,Dec,314
46.75,47.200001,46.290001,46.73,46.73,32086000,2013,Dec,315
46.459999,48.77,46.259998,48.619999,48.619999,60890000,2013,Dec,316
48.150002,48.700001,47.869999,48.34,48.34,43855000,2013,Dec,317
48.98,49.389999,47.709999,47.939999,47.939999,42938000,2013,Dec,318
48.09,48.970001,47.740002,48.84,48.84,36056000,2013,Dec,319
48.639999,50.77,48.540001,50.25,50.25,68479000,2013,Dec,320
50.549999,50.77,49.009998,49.380001,49.380001,65776000,2013,Dec,321
51.049999,52.07,50.66,51.830002,51.830002,92723000,2013,Dec,322
51.66,53.5,51.34,53.32,53.32,82641000,2013,Dec,323
53.25,54.5,52.91,53.810001,53.810001,85119000,2013,Dec,324
54.759998,55.18,54.240002,54.860001,54.860001,78751000,2013,Dec,325
54.860001,55.889999,53.75,55.57,55.57,76003000,2013,Dec,326
54.330002,55.189999,53.950001,55.049999,55.049999,89753200,2013,Dec,327
54.93,55.150002,54.23,55.119999,55.119999,239824000,2013,Dec,328
55.5,58.32,55.450001,57.77,57.77,98297000,2013,Dec,329
58.27,58.580002,56.91,57.959999,57.959999,46617800,2013,Dec,330
58.32,58.380001,57.369999,57.73,57.73,55101000,2013,Dec,331
57.48,57.68,55.25,55.439999,55.439999,60466000,2013,Dec,332
54.93,55.18,53.43,53.709999,53.709999,68307000,2013,Dec,333
54.119999,54.860001,53.91,54.650002,54.650002,43076200,2013,Dec,334
54.830002,55.220001,54.189999,54.709999,54.709999,43195500,2014,Jan,335
55.02,55.650002,54.529999,54.560001,54.560001,38246200,2014,Jan,336
54.419998,57.259998,54.049999,57.200001,57.200001,68852600,2014,Jan,337
57.700001,58.549999,57.220001,57.919998,57.919998,77207400,2014,Jan,338
